OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_source,_team,_team_id,_vert_slip_type
315,Stop 13,Tectonic,"Source: Ridgecrest 2019; Total lateral 55 cm, total vertical 70 cm. 55 cm mostly over main dextral measurement (stop 12) and a smaller offset of 10 cm 2 m to east (at measurement point). Whole fault zone appears to trend N35W. ",,Right - Normal,,,,,,,,,,,,,,,,,,,55.0,,,70.0,,,,,2019-07-09T13:14:57-07,J. Thompson Jobe,,,,,,,,,,,,,,,,,,,,,,,,35.78392374,-117.6091725,USGS,At Site,,35.78392374,-117.6091725,7.1,"M. DeFrisco/CGS
E. Frost/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Kendrick/USGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
316,Placemark 75,Tectonic,Source: Ridgecrest 2019; 2 minor strands positioned 6 m apart N006E strike. 1 cm right-lateral. Vertical 3-5 cm total.,,Right - Normal ,,,,,,,,,,6.0,,,,,,,,,1.0,,,,3.0,5.0,,,2019-07-09T13:19:00-07,E. Haddon,,,,,,,,,,,,,,,,,,,,,,,,35.78811702,-117.6073236,USGS,At Site,,35.78811702,-117.6073236,7.1,"M. DeFrisco/CGS
E. Frost/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Kendrick/USGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
317,MD110 (C1_315),Tectonic,Source: Ridgecrest 2019; Subparallel fault. 3 cm vertical down to west. 3-5 cm max right-lateral separation ,,Right - Normal ,West,,,,,,,,,,,,,,,,,,,3.0,5.0,3.0,,,,,2019-07-09T13:24:56-07,M. DeFrisco,,,,,,,,,,,,,,,,,,,,,,,,35.78796897,-117.6073682,CGS,At Site,,35.78796897,-117.6073682,7.1,"M. DeFrisco/CGS
E. Frost/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Kendrick/USGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
318,Wpt 106,Tectonic,"Source: Ridgecrest 2019; Right-lateral displacement in N10W strike.  Vertical separation 2.5 cm, slip vector bearing 100 degrees",,Right - Normal ,,,,100.0,,,,,,,,,100.0,,,,,,,,,2.5,,,,,2019-07-09T13:34:25-07,J. Hernandez,,,,,,,,,,,,,,,,,,,,,,,,35.78464282,-117.6093503,CGS,At Site,,35.78464282,-117.6093503,7.1,"M. DeFrisco/CGS
E. Frost/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Kendrick/USGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
319,164,Tectonic,"Source: Ridgecrest 2019; Minor trace right-lateral, SW side up offset soil crust",,Right - Normal ,East,,,,Separation,,,,,,,,,,,,,,18.0,17.0,19.0,6.0,5.0,7.0,,,2019-07-09T13:34:47-07,B. Philibosian,,,,,,,,,,,,,,,,,,,,,,Natural,,35.737108,-117.563324,USGS,At Site,Soil crust,35.737108,-117.563324,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
320,166,Tectonic,"Source: Ridgecrest 2019; Minor trace right-lateral, SW side up offset soil crust",,Right,East,,,,Separation,,,,,,,,,,,,,,14.0,13.0,15.0,2.0,1.0,3.0,,,2019-07-09T13:44:56-07,B. Philibosian,,,,,,,,,,,,,,,,,,,,,,Natural,,35.737979,-117.564363,USGS,At Site,Soil crust,35.737979,-117.564363,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
321,167,Tectonic,Source: Ridgecrest 2019; Minor trace right-lateral offset soil crust,,Right,,,,,Separation,,,,,,,,,,,,,,4.0,3.0,5.0,,,1.0,,,2019-07-09T13:48:12-07,B. Philibosian,,,,,,,,,,,,,,,,,,,,,,Natural,,35.738262,-117.564794,USGS,At Site,Soil Crust,35.738262,-117.564794,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
322,Placemark 7,Tectonic,"Source: Ridgecrest 2019; Fault rupture, offset small channel, 65 cm @ N55W, narrow fault zone (approx 20 cm wide). Max vertical offset 8 cm E side up",,Right,West,,,305.0,Offset,,,,,0.200000003,,,305.0,,,,,,65.0,,,,,8.0,,,2019-07-09T13:48:43-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.73762955,-117.5659898,CGS,At Site,Channel,35.73762955,-117.5659898,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
323,C1_243,Tectonic,"Source: Ridgecrest 2019; Cumulative ~4 cm left-lateral on NS local trend, slip vector N35E, half meter aperture; discontinuous rupture",,Left,,,0.0,35.0,Offset,,,,,,,,35.0,,4.0,,,,4.0,,,,,,,,2019-07-09T13:55:06-07,J. Treiman,,,,,,,,,,,,,,,,,,,,0.5,,,,35.60704707,-117.5874913,CGS,At Site,,35.60704707,-117.5874913,6.4,"
J. Treiman/CGS",'07/09-2',
324,Placemark 8,Tectonic,"Source: Ridgecrest 2019; Fault rupture offsetting minor channel 57 cm @ N41W, max vertical offset 7 cm, west side up",,Right,East,,,319.0,Offset,,,,,,,,319.0,,,,,,57.0,,,,,7.0,,,2019-07-09T13:57:05-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.7379672,-117.5662719,CGS,At Site,Channel,35.7379672,-117.5662719,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
325,205,Tectonic,"Source: Ridgecrest 2019; 2 cm right-lateral photo with scale; NS vector; up on east, ~ 7mm - 1 cm.",,Right - Normal ,West,,,360.0,Offset,,,,,,,,360.0,,2.0,,,,2.0,,,,0.699999988,1.0,,,2019-07-09T13:59:40-07,K. Kendrick,,,,,,,,,,,,,,,,,,,,,,,,35.737673,-117.565928,USGS,At Site,,35.737673,-117.565928,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
326,Nag26 (C1_287),Tectonic,"Source: Ridgecrest 2019; At approximately 35 ft width (man made) channel that appears to branch off upstream to road. Minor strands cutting across channel width with 3 cm apparent horizontal displacement, with approximately 1-3 cm vertical, down to east. General trend approx N5E",,Right - Normal ,East,,,,,,,,,,,,,,,,,,3.0,,,,1.0,3.0,,,2019-07-09T14:00:36-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Natural,,35.73964437,-117.5651051,CGS,At Site,Stream channel,35.73964437,-117.5651051,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
327,Placemark 9,Tectonic,"Source: Ridgecrest 2019; Offset channel, fault zone width plus irregular margins make measure meant difficult. Very approximate displacement of 1.3 m",,Right,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,2019-07-09T14:03:09-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.73846418,-117.5670781,CGS,At Site,Channel,35.73846418,-117.5670781,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',
328,Placemark 138,Tectonic,"Source: Ridgecrest 2019; Offset erosional depositional lineament 10+/-3 cm right-lateral, no vertical offset.",,Right,,,,,Separation,,,,,,,,,,,,,,10.0,7.0,13.0,,,,,,2019-07-09T14:13:08-07,S. Akciz,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64086043,-117.4623632,CSUF,At Site,depositional lineament ,35.64086043,-117.4623632,7.1,"S. Akciz/CSUF
S. Padilla/CSUF",'07/09-7',
329,175,Tectonic,Source: Ridgecrest 2019; Minor trace right-lateral offset,,Right,,,,,Separation,,,,,,,,,,,,,,5.0,4.0,6.0,,,1.0,,,2019-07-09T14:14:29-07,B. Philibosian,,,,,,,,,,,,,,,,,,,,,,,,35.738676,-117.563961,USGS,At Site,,35.738676,-117.563961,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
B. Philibosian/USGS",'07/09-5',Separation
330,C1_245,Tectonic,"Source: Ridgecrest 2019; Very discontinuous rupture, 2 cm N65E vector, fracture N38E",,Left,,,,65.0,Offset,,,,,,,,65.0,,2.0,,,,2.0,,,,,,,,2019-07-09T14:14:43-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.6067257,-117.5896681,CGS,At Site,,35.6067257,-117.5896681,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
331,C1_249,Tectonic,Source: Ridgecrest 2019; Discontinuous zone centimeter scale left-lateral offsets,,Left,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2019-07-09T14:29:25-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60485566,-117.5914657,CGS,At Site,,35.60485566,-117.5914657,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
332,Nag29 (C1_290),Tectonic,"Source: Ridgecrest 2019; West edge of graben point, 28 m width of graben. 20 (error 10 cm) right-lateral displacement. ",,Right,,,,,Separation,,,,,28.0,,,,,,,,,20.0,10.0,30.0,,,,,,2019-07-09T14:41:50-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.72841651,-117.5622514,CGS,At Site,Road,35.72841651,-117.5622514,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
333,Placemark 148,Tectonic,"Source: Ridgecrest 2019; First set of cracks in a long time, along the edge of the road under the power line, can't have more than 2 cm right-lateral slip.
Strike 145",,Right,,,,,,,,,Crack(s),,,,,,,,,,,,2.0,,,,,,2019-07-09T15:00:19-07,S. Akciz,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.6435373,-117.4695051,CSUF,At Site,Road,35.6435373,-117.4695051,7.1,"S. Akciz/CSUF
S. Padilla/CSUF",'07/09-7',
334,C1_256,Tectonic,"Source: Ridgecrest 2019; Left stepping, right-lateral trends N4E, centimeter scale offset (3-5 cm); vectors 5W to 5E, fracture trend N12E",,Right,,,12.0,,Offset,,,,,,,,,,,3.0,5.0,,,3.0,5.0,,,,,,2019-07-09T15:04:26-07,J. Treiman,,,,,,,,,,,,,355.0,5.0,355.0,5.0,,,,,,,,35.603246,-117.5920141,CGS,At Site,,35.603246,-117.5920141,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
335,C1_257,Tectonic,"Source: Ridgecrest 2019; 6 cm right-lateral, N10W vector, fracture strike N10E",,Right,,,,350.0,Offset,,,,,,,,350.0,,6.0,,,,6.0,,,,,,,,2019-07-09T15:12:02-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60269665,-117.5920027,CGS,At Site,,35.60269665,-117.5920027,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
336,Nag31 (C1_292),Tectonic,"Source: Ridgecrest 2019; 8 cm right-lateral displacement, N30W trend of fault",,Right,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,2019-07-09T15:14:27-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Natural,,35.73441457,-117.570945,CGS,At Site,Soil,35.73441457,-117.570945,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
337,C1_258,Tectonic,"Source: Ridgecrest 2019; Larger left step; N10W vector, 2 cm right-lateral; fracture trend N2E",,Right,,,,350.0,Offset,,,,,,,,350.0,,2.0,,,,2.0,,,,,,,,2019-07-09T15:19:51-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.6016267,-117.5915499,CGS,At Site,,35.6016267,-117.5915499,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
338,C1_259,Tectonic,"Source: Ridgecrest 2019; Left stepping, right-lateral, fracture trends N2E",,Right,,,,350.0,Offset,,,,,,,,350.0,,2.0,,,,2.0,,,,,,,,2019-07-09T15:21:38-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60122056,-117.59141,CGS,At Site,,35.60122056,-117.59141,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
339,188,Tectonic,"Source: Ridgecrest 2019; Secondary trace right-lateral, SW side up offset roadside ditch wall",,Right,East,,,,Offset,,,,,,,,,,,,,,25.0,24.0,26.0,3.0,2.0,4.0,,,2019-07-09T15:23:08-07,B. Philibosian,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.740614,-117.571217,USGS,At Site,Roadside ditch wall,35.740614,-117.571217,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',Separation
340,Nag33 (C1_294),Tectonic,"Source: Ridgecrest 2019; N15E trend left-lateral, 125cm left-lateral horizontal offset; from K. Kendrick: N19E local strike",,Left,,,19.0,,,,,,,,,,,,,,,,125.0,,,,,,,,2019-07-09T15:31:19-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Natural,,35.74093045,-117.5717963,CGS,At Site,Channel edge,35.74093045,-117.5717963,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
341,ES009 (C1_335),Tectonic,Source: Ridgecrest 2019; 16 cm offset noted in offset stream channel,,Right,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,2019-07-09T15:37:09-07,J. Patton,,,,,,,,,,,,,,,,,,,,,,Natural,,35.74644801,-117.5724736,CGS,At Site,Stream channel,35.74644801,-117.5724736,7.1,"S. Angster/USGS
C. DuRoss/USGS
J. Patton/CGS
E. Spangler/CGS",'07/09-4',
342,C1_260,Tectonic,"Source: Ridgecrest 2019; Slight left-lateral with extension, northerly trend, 2 cm max",,Left,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2019-07-09T15:39:10-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,Extension,35.60146493,-117.5902259,CGS,At Site,,35.60146493,-117.5902259,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
343,212,Tectonic,Source: Ridgecrest 2019; Rough measure 70 cm right lateral +/- 20 cm. N35W; NAG35; from N. Graehl: 60 cm right-lateral displacement. ,,Right,,,,,Separation,,,,,,,,,,,,,,70.0,50.0,90.0,,,,,,2019-07-09T15:39:17-07,K. Kendrick,,,,,,,,,,,,,,,,,,,,,,,,35.740916,-117.572445,USGS,At Site,,35.740916,-117.572445,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
344,C1_261,Tectonic,"Source: Ridgecrest 2019; Weak right stepping zone trends N17E, sub- cm offsets",,Left,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2019-07-09T15:41:40-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60153312,-117.5897678,CGS,At Site,,35.60153312,-117.5897678,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
345,BO005 (C1_343),Tectonic,"Source: Ridgecrest 2019; Southern end of left-lateral fault rupture, series of distrusted small fault with 1 cm offset or less",,Left,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2019-07-09T15:42:45-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,,,35.73980667,-117.57208,CGS,At Site,,35.73980667,-117.57208,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
346,ES010 (C1_336),Tectonic,Source: Ridgecrest 2019; Pre existing fault plane as evidenced by mineralization on fault plane. 25 cm of right-lateral offset as measured in offset channel,,Right,East,70.0,,138.0,Offset,,,,,2.0,,,138.0,16.0,,,,,25.0,,,7.0,,,,,2019-07-09T15:46:40-07,J. Patton,,,,,,,,,Yes,,,,,,,,Vertical computed from horizontal component and vector plunge.,,,,,Natural,,35.74061265,-117.5712689,CGS,At Site,Channel,35.74061265,-117.5712689,7.1,"S. Angster/USGS
C. DuRoss/USGS
J. Patton/CGS
E. Spangler/CGS",'07/09-4',Offset
347,C1_262,Tectonic,Source: Ridgecrest 2019; Right stepping fractures with slight indication of centimeter scale left-lateral,,Left,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2019-07-09T15:47:22-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.6020577,-117.5893067,CGS,At Site,,35.6020577,-117.5893067,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
348,Nag36 (C1_297),Tectonic,"Source: Ridgecrest 2019; 39 cm right-lateral offset (error 1 cm), N30W trend, steps over to the west",,Right,,,,,Separation,,,,,,,,,,,,,,39.0,38.0,40.0,,,,,,2019-07-09T15:58:52-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Natural,,35.74166345,-117.5732962,CGS,At Site,Carbonate crust,35.74166345,-117.5732962,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
349,C1_266,Tectonic,Source: Ridgecrest 2019; Left-lateral offset of tire track 5-10 cm,,Left,,,,,,,,,,,,,,,,,,,,5.0,10.0,,,,,,2019-07-09T16:03:08-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.60344025,-117.5873644,CGS,At Site,Tire track,35.60344025,-117.5873644,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
350,BO008 (C1_346),Tectonic,Source: Ridgecrest 2019; nan,,Right,,86.0,,170.0,Offset,,,,,,,,170.0,,22.0,,,,22.0,,,,,,,,2019-07-09T16:11:38-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,,,35.741385,-117.5732,CGS,At Site,,35.741385,-117.5732,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
351,Stop X 070919,Tectonic,"Source: Ridgecrest 2019; Right-lateral offset measured on main vertical scarp of 170-200 cm. From pre-event imagery, road does not appear straight - has an apparent ""right-lateral"" bend in it. Measurement from 7/8/19 of 5.8 m is likely an overestimate and includes fault displacement plus natural road bend. ",,Right,,,,,,,,,,,,,,,,,,,,170.0,200.0,,,,,,2019-07-09T16:21:09-07,J. Thompson Jobe,,,,,,,,,,,,,,,,,,,,,,,,35.77076577,-117.6025785,USGS,At Site,,35.77076577,-117.6025785,7.1,"M. DeFrisco/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Kendrick/USGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',
352,BO009 (C1_347),Tectonic,Source: Ridgecrest 2019; nan,,Left - Normal,,,,0.0,Offset,,,,,,,,0.0,12.0,12.0,,,,11.69999981,,,2.5,,,,,2019-07-09T16:21:16-07,B. Olson,,,,,,,,,,,,,,,,,Offset components computed from slip vector.,,,,,,,35.74159167,-117.5736733,CGS,At Site,,35.74159167,-117.5736733,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',Offset
353,C1_268,Tectonic,"Source: Ridgecrest 2019; Vector N18E, 3 cm left-lateral",,Left,,,,18.0,Offset,,,,,,,,18.0,,3.0,,,,3.0,,,,,,,,2019-07-09T16:25:52-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60425221,-117.5865714,CGS,At Site,,35.60425221,-117.5865714,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
354,C1_270,Tectonic,"Source: Ridgecrest 2019; Offset tire track, Structure-from-motion photos taken by Swanson; 9 cm left-lateral",,Left,,,,,Offset,,,,,,,,,,,,,,9.0,,,,,,,,2019-07-09T16:35:01-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.60469892,-117.5857212,CGS,At Site,Tire tracks,35.60469892,-117.5857212,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
355,C1_272,Tectonic,"Source: Ridgecrest 2019; Principal left-stepping, right-lateral fault.",,Right,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2019-07-09T17:14:59-07,J. Treiman,,,,,,,,,,,,,,,,,,,,,,,,35.60005895,-117.5906131,CGS,At Site,,35.60005895,-117.5906131,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
356,C1_203,Tectonic,"Source: Ridgecrest 2019; Main zone of right-lateral faulting (JT getting west margin). N7W local trend of faulting. Slip 3 cm toward N25W, right-lateral. 85 cm width of faulting. left stepping.",,Right,,,353.0,335.0,Offset,,,,,0.850000024,,,335.0,,3.0,,,,3.0,,,,,,,,2019-07-09T17:16:50-07,E. Frost,,,,,,,,,,,,,,,,,,,,,,,,35.60019582,-117.5906088,CGS,At Site,,35.60019582,-117.5906088,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
357,C1_204,Tectonic,"Source: Ridgecrest 2019; Main zone of right-lateral faulting; left stepping. Local fracture trend N3W, 2.3m wide; cm scale right lateral displacement.",,Right,,,357.0,,,,,,,2.299999952,,,,,,,,,1.0,,,,,,,,2019-07-09T17:22:09-07,E. Frost,,,,,,,,,,,,,,,,,,,,,,,,35.59963128,-117.5904412,CGS,At Site,,35.59963128,-117.5904412,6.4,"E. Frost/CGS
J. Treiman/CGS",'07/09-2',
358,Nag50 (C1_300),Tectonic,"Source: Ridgecrest 2019; N45E trend of fault (general), 28 cm (error 3 cm) left-lateral displacement, road berm N55W, 15 cm vertical (error 3cm). ",,Left - Normal,,,,35.0,Offset,,,,,,,,,,,,,,28.0,25.0,31.0,15.0,12.0,18.0,,,2019-07-09T17:51:32-07,N. Graehl,,,,,,,,,,,,,,,,,,,,,,Natural,,35.86756793,-117.6780068,CGS,At Site,Dirt road,35.86756793,-117.6780068,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',Separation
359,BO010 (C1_348),Tectonic,Source: Ridgecrest 2019; 6 m wide zone of fractures with sub cm left-lateral offset. ,,Left,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,2019-07-09T17:53:32-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,,,35.83858333,-117.658905,CGS,At Site,,35.83858333,-117.658905,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
360,Stop 20 070919,Tectonic,"Source: Ridgecrest 2019; Rupture crosses road, left-lateral offset, 25 +/- 5 cm measured parallel to fault. Trend of N10E. En echelon right-stepping fractures. Width of 5 m, most motion localized on 1 m zone. ",,Left,,,,,Separation,,,,,1.0,,5.0,,,,,,,25.0,20.0,30.0,,,,,,2019-07-09T17:54:18-07,J. Thompson Jobe,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.83836746,-117.659512,USGS,At Site,Road,35.83836746,-117.659512,7.1,"M. DeFrisco/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',
361,MD013 (C1_316),Tectonic,Source: Ridgecrest 2019; Distributed discontinuous cracks. En echelon with normal offset to west 5-10 cm. 15 m wide zone of deformation. Local mole tracks,,,West,,22.0,,,,,,En echelon,15.0,,,,,,,,,,,,,5.0,10.0,,,2019-07-09T17:56:16-07,M. DeFrisco,,,,,,,,,,,,,,,,,Unclear if fault strike is local or overall (long-baseline azimuth).,,,,,,,35.8375905,-117.6602504,CGS,At Site,,35.8375905,-117.6602504,7.1,"M. DeFrisco/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
362,BO011 (C1_349),Tectonic,"Source: Ridgecrest 2019; 6 m wide zone of fractures, sub cm left-lateral offset",,Left,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,2019-07-09T17:58:07-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.83896,-117.6583667,CGS,At Site,soil,35.83896,-117.6583667,7.1,"J. Delano/USGS
N. Graehl/CGS
K. Kendrick/USGS
B. Olson/CGS
J. Patton/CGS
B. Philibosian/USGS",'07/09-5',
363,Stop 21 070919,Tectonic,"Source: Ridgecrest 2019; Rupture crosses road. Left-lateral offset of 19 +/- 3 cm on road, parallel to fault measured on tire tracks. Trend of N15E, vertical <5cm, more likely 3 cm, on western road berm. ",,Left,,,,,Separation,,,,,,,,,,,,,,19.0,16.0,22.0,3.0,,5.0,,,2019-07-09T18:12:27-07,J. Thompson Jobe,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.83359997,-117.6579592,USGS,At Site,Road,35.83359997,-117.6579592,7.1,"M. DeFrisco/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
364,Placemark 80,Tectonic,Source: Ridgecrest 2019; N44E fault strike. En echelon shears step right. Left-lateral 10.5-11 cm. Extension is 6 cm. Up to north displacement only about 1/4 cm.,,Left,South,,,,,6.0,,,,,,,,,,,,,,10.5,11.0,,,0.25,,,2019-07-09T18:16:00-07,E. Haddon,,,,,,,,,,,,,,,,,,,,,,,Extension,35.83411839,-117.6573701,USGS,At Site,,35.83411839,-117.6573701,7.1,"M. DeFrisco/CGS
B. Haddon/USGS
J. Hernandez/CGS
K. Scharer/USGS
G. Seitz/CGS
J. Thompson Jobe/USGS",'07/09-3',Separation
